Team,Opp,WorL,TeamPTS,OppPTS,W,L
Cleveland Cavaliers,Washington Wizards,W,113,108,15,40
Cleveland Cavaliers,Miami Heat,L,105,124,15,41
Cleveland Cavaliers,Miami Heat,W,125,119,16,41
Cleveland Cavaliers,Philadelphia 76ers,W,108,94,17,41
Cleveland Cavaliers,New Orleans Pelicans,L,104,116,17,42
Cleveland Cavaliers,Indiana Pacers,L,104,113,17,43
Cleveland Cavaliers,Utah Jazz,L,113,126,17,44
Cleveland Cavaliers,Boston Celtics,L,106,112,17,45
Cleveland Cavaliers,Denver Nuggets,W,104,102,18,45
Cleveland Cavaliers,San Antonio Spurs,W,132,129,19,45
Cleveland Cavaliers,Chicago Bulls,L,103,108,19,46
Miami Heat,Memphis Grizzlies,W,120,101,1,0
Miami Heat,Milwaukee Bucks,W,131,126,2,0
Miami Heat,Minnesota Timberwolves,L,109,116,2,1
Miami Heat,Atlanta Hawks,W,112,97,3,1
Miami Heat,Atlanta Hawks,W,106,97,4,1
Miami Heat,Houston Rockets,W,129,100,5,1
Miami Heat,Denver Nuggets,L,89,109,5,2
Miami Heat,Phoenix Suns,W,124,108,6,2
Miami Heat,Los Angeles Lakers,L,80,95,6,3
Miami Heat,Detroit Pistons,W,117,108,7,3
Miami Heat,Cleveland Cavaliers,W,108,97,8,3
Miami Heat,New Orleans Pelicans,W,109,94,9,3
Miami Heat,Cleveland Cavaliers,W,124,100,10,3
Miami Heat,Chicago Bulls,W,116,108,11,3
Miami Heat,Philadelphia 76ers,L,86,113,11,4
Miami Heat,Charlotte Hornets,W,117,100,12,4
Miami Heat,Houston Rockets,L,108,117,12,5
Miami Heat,Golden State Warriors,W,122,105,13,5
Miami Heat,Brooklyn Nets,W,109,106,14,5
Miami Heat,Toronto Raptors,W,121,110,15,5
Miami Heat,Boston Celtics,L,93,112,15,6
Miami Heat,Washington Wizards,W,112,103,16,6
Miami Heat,Chicago Bulls,W,110,105,17,6
Miami Heat,Atlanta Hawks,W,135,121,18,6
Miami Heat,Los Angeles Lakers,L,110,113,18,7
Miami Heat,Dallas Mavericks,W,122,118,19,7
Miami Heat,Memphis Grizzlies,L,111,118,19,8
Miami Heat,Philadelphia 76ers,W,108,104,20,8
Miami Heat,New York Knicks,W,129,114,21,8
Miami Heat,Utah Jazz,W,107,104,22,8
Miami Heat,Indiana Pacers,W,113,112,23,8
Miami Heat,Philadelphia 76ers,W,117,116,24,8
Miami Heat,Washington Wizards,L,105,123,24,9
Miami Heat,Toronto Raptors,W,84,76,25,9
Miami Heat,Orlando Magic,L,85,105,25,10
Miami Heat,Portland Trail Blazers,W,122,111,26,10
Miami Heat,Indiana Pacers,W,122,108,27,10
Miami Heat,Brooklyn Nets,L,113,117,27,11
Miami Heat,New York Knicks,L,121,124,27,12
Miami Heat,San Antonio Spurs,W,106,100,28,12
Miami Heat,Oklahoma City Thunder,W,115,108,29,12
Miami Heat,San Antonio Spurs,L,102,107,29,13
Miami Heat,Sacramento Kings,W,118,113,30,13
Miami Heat,Washington Wizards,W,134,129,31,13
Miami Heat,Los Angeles Clippers,L,117,122,31,14
Miami Heat,Orlando Magic,W,113,92,32,14
Miami Heat,Boston Celtics,L,101,109,32,15
Miami Heat,Orlando Magic,W,102,89,33,15
Miami Heat,Philadelphia 76ers,W,137,106,34,15
Miami Heat,Los Angeles Clippers,L,111,128,34,16
Miami Heat,Sacramento Kings,L,97,105,34,17
Miami Heat,Portland Trail Blazers,L,109,115,34,18
Miami Heat,Golden State Warriors,W,113,101,35,18
Miami Heat,Utah Jazz,L,101,116,35,19
Miami Heat,Atlanta Hawks,L,124,129,35,20
Miami Heat,Cleveland Cavaliers,W,124,105,36,20
Miami Heat,Cleveland Cavaliers,L,119,125,36,21
Miami Heat,Minnesota Timberwolves,L,126,129,36,22
Miami Heat,Dallas Mavericks,W,126,118,37,22
Miami Heat,Brooklyn Nets,W,116,113,38,22
Miami Heat,Milwaukee Bucks,W,105,89,39,22
Miami Heat,Orlando Magic,W,116,113,40,22
Miami Heat,New Orleans Pelicans,L,104,110,40,23
Miami Heat,Washington Wizards,W,100,89,41,23
Miami Heat,Charlotte Hornets,L,98,109,41,24
Orlando Magic,Cleveland Cavaliers,W,94,85,1,0
Orlando Magic,Atlanta Hawks,L,99,103,1,1
Orlando Magic,Toronto Raptors,L,95,104,1,2
Orlando Magic,New York Knicks,W,95,83,2,2
Orlando Magic,Milwaukee Bucks,L,91,123,2,3
Orlando Magic,Denver Nuggets,L,87,91,2,4
Orlando Magic,Oklahoma City Thunder,L,94,102,2,5
Orlando Magic,Dallas Mavericks,L,106,107,2,6
Orlando Magic,Memphis Grizzlies,W,118,86,3,6
Orlando Magic,Indiana Pacers,L,102,109,3,7
Orlando Magic,Philadelphia 76ers,W,112,97,4,7
Orlando Magic,San Antonio Spurs,W,111,109,5,7
Orlando Magic,Washington Wizards,W,125,121,6,7
Orlando Magic,Toronto Raptors,L,97,113,6,8
Orlando Magic,Indiana Pacers,L,106,111,6,9
Orlando Magic,Detroit Pistons,L,88,103,6,10
Orlando Magic,Cleveland Cavaliers,W,116,104,7,10
Orlando Magic,Toronto Raptors,L,83,90,7,11
Orlando Magic,Golden State Warriors,W,100,96,8,11
Orlando Magic,Washington Wizards,W,127,120,9,11
Orlando Magic,Phoenix Suns,W,128,114,10,11
Orlando Magic,Cleveland Cavaliers,W,93,87,11,11
Orlando Magic,Milwaukee Bucks,L,101,110,11,12
Orlando Magic,Los Angeles Lakers,L,87,96,11,13
Orlando Magic,Houston Rockets,L,107,130,11,14
Orlando Magic,New Orleans Pelicans,W,130,119,12,14
Orlando Magic,Utah Jazz,L,102,109,12,15
Orlando Magic,Denver Nuggets,L,104,113,12,16
Orlando Magic,Portland Trail Blazers,L,103,118,12,17
Orlando Magic,Chicago Bulls,W,103,95,13,17
Orlando Magic,Philadelphia 76ers,W,98,97,14,17
Orlando Magic,Milwaukee Bucks,L,100,111,14,18
Orlando Magic,Atlanta Hawks,L,93,101,14,19
Orlando Magic,Washington Wizards,W,122,101,15,19
Orlando Magic,Miami Heat,W,105,85,16,19
Orlando Magic,Utah Jazz,L,96,109,16,20
Orlando Magic,Brooklyn Nets,W,101,89,17,20
Orlando Magic,Washington Wizards,W,123,89,18,20
Orlando Magic,Phoenix Suns,L,94,98,18,21
Orlando Magic,Sacramento Kings,W,114,112,19,21
Orlando Magic,Los Angeles Lakers,W,119,118,20,21
Orlando Magic,Los Angeles Clippers,L,95,122,20,22
Orlando Magic,Golden State Warriors,L,95,109,20,23
Orlando Magic,Charlotte Hornets,W,106,83,21,23
Orlando Magic,Oklahoma City Thunder,L,114,120,21,24
Orlando Magic,Boston Celtics,L,98,109,21,25
Orlando Magic,Los Angeles Clippers,L,97,112,21,26
Orlando Magic,Miami Heat,L,92,113,21,27
Orlando Magic,Miami Heat,L,89,102,21,28
Orlando Magic,Charlotte Hornets,W,112,100,22,28
Orlando Magic,Boston Celtics,L,100,116,22,29
Orlando Magic,New York Knicks,L,103,105,22,30
Orlando Magic,Milwaukee Bucks,L,95,111,22,31
Orlando Magic,Atlanta Hawks,W,135,126,23,31
Orlando Magic,Detroit Pistons,W,116,112,24,31
Orlando Magic,Dallas Mavericks,L,106,122,24,32
Orlando Magic,Brooklyn Nets,W,115,113,25,32
Orlando Magic,Atlanta Hawks,W,130,120,26,32
Orlando Magic,Minnesota Timberwolves,W,136,125,27,32
Orlando Magic,San Antonio Spurs,L,113,114,27,33
Orlando Magic,Portland Trail Blazers,L,107,130,27,34
Orlando Magic,Miami Heat,L,113,116,27,35
Orlando Magic,Minnesota Timberwolves,W,132,118,28,35
Orlando Magic,Houston Rockets,W,126,106,29,35
Orlando Magic,Memphis Grizzlies,W,120,115,30,35
Charlotte Hornets,Chicago Bulls,W,126,125,1,0
Charlotte Hornets,Minnesota Timberwolves,L,99,121,1,1
Charlotte Hornets,Los Angeles Lakers,L,101,120,1,2
Charlotte Hornets,Los Angeles Clippers,L,96,111,1,3
Charlotte Hornets,Sacramento Kings,W,118,111,2,3
Charlotte Hornets,Golden State Warriors,W,93,87,3,3
Charlotte Hornets,Indiana Pacers,W,122,120,4,3
Charlotte Hornets,Boston Celtics,L,87,108,4,4
Charlotte Hornets,New Orleans Pelicans,L,110,115,4,5
Charlotte Hornets,Philadelphia 76ers,L,106,114,4,6
Charlotte Hornets,Memphis Grizzlies,L,117,119,4,7
Charlotte Hornets,Detroit Pistons,W,109,106,5,7
Charlotte Hornets,New York Knicks,W,103,102,6,7
Charlotte Hornets,Toronto Raptors,L,96,132,6,8
Charlotte Hornets,Brooklyn Nets,L,91,101,6,9
Charlotte Hornets,Washington Wizards,L,118,125,6,10
Charlotte Hornets,Chicago Bulls,L,115,116,6,11
Charlotte Hornets,Miami Heat,L,100,117,6,12
Charlotte Hornets,Detroit Pistons,W,102,101,7,12
Charlotte Hornets,Detroit Pistons,W,110,107,8,12
Charlotte Hornets,Milwaukee Bucks,L,96,137,8,13
Charlotte Hornets,Phoenix Suns,L,104,109,8,14
Charlotte Hornets,Golden State Warriors,W,106,91,9,14
Charlotte Hornets,Brooklyn Nets,L,104,111,9,15
Charlotte Hornets,Atlanta Hawks,L,107,122,9,16
Charlotte Hornets,Washington Wizards,W,114,107,10,16
Charlotte Hornets,Brooklyn Nets,W,113,108,11,16
Charlotte Hornets,Chicago Bulls,W,83,73,12,16
Charlotte Hornets,Indiana Pacers,L,85,107,12,17
Charlotte Hornets,Sacramento Kings,W,110,102,13,17
Charlotte Hornets,Cleveland Cavaliers,L,98,100,13,18
Charlotte Hornets,Utah Jazz,L,107,114,13,19
Charlotte Hornets,Boston Celtics,L,93,119,13,20
Charlotte Hornets,Oklahoma City Thunder,L,102,104,13,21
Charlotte Hornets,Memphis Grizzlies,L,104,117,13,22
Charlotte Hornets,Boston Celtics,L,92,109,13,23
Charlotte Hornets,Cleveland Cavaliers,W,109,106,14,23
Charlotte Hornets,Dallas Mavericks,W,123,120,15,23
Charlotte Hornets,Indiana Pacers,L,104,115,15,24
Charlotte Hornets,Toronto Raptors,L,110,112,15,25
Charlotte Hornets,Utah Jazz,L,92,109,15,26
Charlotte Hornets,Phoenix Suns,L,92,100,15,27
Charlotte Hornets,Portland Trail Blazers,L,112,115,15,28
Charlotte Hornets,Denver Nuggets,L,86,100,15,29
Charlotte Hornets,Orlando Magic,L,83,106,15,30
Charlotte Hornets,Milwaukee Bucks,L,103,116,15,31
Charlotte Hornets,New York Knicks,W,97,92,16,31
Charlotte Hornets,Washington Wizards,L,107,121,16,32
Charlotte Hornets,San Antonio Spurs,L,90,114,16,33
Charlotte Hornets,Orlando Magic,L,100,112,16,34
Charlotte Hornets,Houston Rockets,L,110,125,16,35
Charlotte Hornets,Dallas Mavericks,L,100,116,16,36
Charlotte Hornets,Detroit Pistons,W,87,76,17,36
Charlotte Hornets,Minnesota Timberwolves,W,115,108,18,36
Charlotte Hornets,Chicago Bulls,W,103,93,19,36
Charlotte Hornets,Brooklyn Nets,L,86,115,19,37
Charlotte Hornets,Indiana Pacers,L,80,119,19,38
Charlotte Hornets,New York Knicks,W,107,101,20,38
Charlotte Hornets,Toronto Raptors,W,99,96,21,38
Charlotte Hornets,Milwaukee Bucks,L,85,93,21,39
Charlotte Hornets,San Antonio Spurs,L,103,104,21,40
Charlotte Hornets,Denver Nuggets,L,112,114,21,41
Charlotte Hornets,Houston Rockets,W,108,99,22,41
Charlotte Hornets,Atlanta Hawks,L,138,143,22,42
Charlotte Hornets,Miami Heat,W,109,98,23,42
Washington Wizards,Dallas Mavericks,L,100,108,0,1
Washington Wizards,Oklahoma City Thunder,W,97,85,1,1
Washington Wizards,San Antonio Spurs,L,122,124,1,2
Washington Wizards,Houston Rockets,L,158,159,1,3
Washington Wizards,Minnesota Timberwolves,L,109,131,1,4
Washington Wizards,Detroit Pistons,W,115,99,2,4
Washington Wizards,Indiana Pacers,L,106,121,2,5
Washington Wizards,Cleveland Cavaliers,L,100,113,2,6
Washington Wizards,Boston Celtics,L,133,140,2,7
Washington Wizards,Minnesota Timberwolves,W,137,116,3,7
Washington Wizards,Orlando Magic,L,121,125,3,8
Washington Wizards,San Antonio Spurs,W,138,132,4,8
Washington Wizards,Charlotte Hornets,W,125,118,5,8
Washington Wizards,Sacramento Kings,L,106,113,5,9
Washington Wizards,Denver Nuggets,L,104,117,5,10
Washington Wizards,Phoenix Suns,W,140,132,6,10
Washington Wizards,Los Angeles Lakers,L,103,125,6,11
Washington Wizards,Los Angeles Clippers,L,125,150,6,12
Washington Wizards,Orlando Magic,L,120,127,6,13
Washington Wizards,Philadelphia 76ers,W,119,113,7,13
Washington Wizards,Miami Heat,L,103,112,7,14
Washington Wizards,Los Angeles Clippers,L,119,135,7,15
Washington Wizards,Charlotte Hornets,L,107,114,7,16
Washington Wizards,Memphis Grizzlies,L,111,128,7,17
Washington Wizards,Detroit Pistons,W,133,119,8,17
Washington Wizards,Chicago Bulls,L,109,110,8,18
Washington Wizards,Toronto Raptors,L,118,122,8,19
Washington Wizards,Philadelphia 76ers,L,108,125,8,20
Washington Wizards,New York Knicks,W,121,115,9,20
Washington Wizards,Detroit Pistons,L,102,132,9,21
Washington Wizards,New York Knicks,L,100,107,9,22
Washington Wizards,Miami Heat,W,123,105,10,22
Washington Wizards,Orlando Magic,L,101,122,10,23
Washington Wizards,Portland Trail Blazers,L,103,122,10,24
Washington Wizards,Denver Nuggets,W,128,114,11,24
Washington Wizards,Boston Celtics,W,99,94,12,24
Washington Wizards,Orlando Magic,L,89,123,12,25
Washington Wizards,Atlanta Hawks,W,111,101,13,25
Washington Wizards,Utah Jazz,L,116,127,13,26
Washington Wizards,Chicago Bulls,L,106,115,13,27
Washington Wizards,Toronto Raptors,L,111,140,13,28
Washington Wizards,Detroit Pistons,W,106,100,14,28
Washington Wizards,Miami Heat,L,129,134,14,29
Washington Wizards,Cleveland Cavaliers,W,124,112,15,29
Washington Wizards,Atlanta Hawks,L,133,152,15,30
Washington Wizards,Milwaukee Bucks,L,131,151,15,31
Washington Wizards,Charlotte Hornets,W,121,107,16,31
Washington Wizards,Brooklyn Nets,W,113,107,17,31
Washington Wizards,Golden State Warriors,L,117,125,17,32
Washington Wizards,Dallas Mavericks,W,119,118,18,32
Washington Wizards,Memphis Grizzlies,L,99,106,18,33
Washington Wizards,Chicago Bulls,W,126,114,19,33
Washington Wizards,New York Knicks,W,114,96,20,33
Washington Wizards,Cleveland Cavaliers,L,108,113,20,34
Washington Wizards,Chicago Bulls,L,117,126,20,35
Washington Wizards,Milwaukee Bucks,L,134,137,20,36
Washington Wizards,Brooklyn Nets,W,110,106,21,36
Washington Wizards,Utah Jazz,L,119,129,21,37
Washington Wizards,Golden State Warriors,W,124,110,22,37
Washington Wizards,Sacramento Kings,L,126,133,22,38
Washington Wizards,Portland Trail Blazers,L,104,125,22,39
Washington Wizards,Atlanta Hawks,W,118,112,23,39
Washington Wizards,Miami Heat,L,89,100,23,40
Washington Wizards,New York Knicks,W,122,115,24,40
Atlanta Hawks,Detroit Pistons,W,117,100,1,0
Atlanta Hawks,Orlando Magic,W,103,99,2,0
Atlanta Hawks,Philadelphia 76ers,L,103,105,2,1
Atlanta Hawks,Miami Heat,L,97,112,2,2
Atlanta Hawks,Miami Heat,L,97,106,2,3
Atlanta Hawks,San Antonio Spurs,W,108,100,3,3
Atlanta Hawks,Chicago Bulls,L,93,113,3,4
Atlanta Hawks,Sacramento Kings,L,109,121,3,5
Atlanta Hawks,Portland Trail Blazers,L,113,124,3,6
Atlanta Hawks,Denver Nuggets,W,125,121,4,6
Atlanta Hawks,Phoenix Suns,L,112,128,4,7
Atlanta Hawks,Los Angeles Clippers,L,101,150,4,8
Atlanta Hawks,Los Angeles Lakers,L,101,122,4,9
Atlanta Hawks,Milwaukee Bucks,L,127,135,4,10
Atlanta Hawks,Detroit Pistons,L,103,128,4,11
Atlanta Hawks,Toronto Raptors,L,116,119,4,12
Atlanta Hawks,Minnesota Timberwolves,L,113,125,4,13
Atlanta Hawks,Milwaukee Bucks,L,102,111,4,14
Atlanta Hawks,Indiana Pacers,L,104,105,4,15
Atlanta Hawks,Houston Rockets,L,111,158,4,16
Atlanta Hawks,Golden State Warriors,W,104,79,5,16
Atlanta Hawks,Brooklyn Nets,L,118,130,5,17
Atlanta Hawks,Charlotte Hornets,W,122,107,6,17
Atlanta Hawks,Miami Heat,L,121,135,6,18
Atlanta Hawks,Chicago Bulls,L,102,136,6,19
Atlanta Hawks,Indiana Pacers,L,100,110,6,20
Atlanta Hawks,Los Angeles Lakers,L,96,101,6,21
Atlanta Hawks,New York Knicks,L,120,143,6,22
Atlanta Hawks,Utah Jazz,L,106,111,6,23
Atlanta Hawks,Brooklyn Nets,L,112,122,6,24
Atlanta Hawks,Cleveland Cavaliers,L,118,121,6,25
Atlanta Hawks,Milwaukee Bucks,L,86,112,6,26
Atlanta Hawks,Chicago Bulls,L,81,116,6,27
Atlanta Hawks,Orlando Magic,W,101,93,7,27
Atlanta Hawks,Boston Celtics,L,106,109,7,28
Atlanta Hawks,Indiana Pacers,W,116,111,8,28
Atlanta Hawks,Denver Nuggets,L,115,123,8,29
Atlanta Hawks,Houston Rockets,L,115,122,8,30
Atlanta Hawks,Washington Wizards,L,101,111,8,31
Atlanta Hawks,Brooklyn Nets,L,86,108,8,32
Atlanta Hawks,Phoenix Suns,W,123,110,9,32
Atlanta Hawks,San Antonio Spurs,W,121,120,10,32
Atlanta Hawks,Detroit Pistons,L,103,136,10,33
Atlanta Hawks,Toronto Raptors,L,117,122,10,34
Atlanta Hawks,Los Angeles Clippers,W,102,95,11,34
Atlanta Hawks,Oklahoma City Thunder,L,111,140,11,35
Atlanta Hawks,Washington Wizards,W,152,133,12,35
Atlanta Hawks,Toronto Raptors,L,114,130,12,36
Atlanta Hawks,Philadelphia 76ers,W,127,117,13,36
Atlanta Hawks,Dallas Mavericks,L,100,123,13,37
Atlanta Hawks,Boston Celtics,L,115,123,13,38
Atlanta Hawks,Minnesota Timberwolves,W,127,120,14,38
Atlanta Hawks,Boston Celtics,L,107,112,14,39
Atlanta Hawks,New York Knicks,W,140,135,15,39
Atlanta Hawks,Orlando Magic,L,126,135,15,40
Atlanta Hawks,Cleveland Cavaliers,L,105,127,15,41
Atlanta Hawks,Miami Heat,W,129,124,16,41
Atlanta Hawks,Dallas Mavericks,W,111,107,17,41
Atlanta Hawks,Philadelphia 76ers,L,112,129,17,42
Atlanta Hawks,Orlando Magic,L,120,130,17,43
Atlanta Hawks,Brooklyn Nets,W,141,118,18,43
Atlanta Hawks,Portland Trail Blazers,W,129,117,19,43
Atlanta Hawks,Memphis Grizzlies,L,88,127,19,44
Atlanta Hawks,Washington Wizards,L,112,118,19,45
Atlanta Hawks,Memphis Grizzlies,L,101,118,19,46
Atlanta Hawks,Charlotte Hornets,W,143,138,20,46
Atlanta Hawks,New York Knicks,L,131,136,20,47
Denver Nuggets,Portland Trail Blazers,W,108,100,1,0
Denver Nuggets,Phoenix Suns,W,108,107,2,0
Denver Nuggets,Sacramento Kings,W,101,94,3,0
Denver Nuggets,Dallas Mavericks,L,106,109,3,1
Denver Nuggets,New Orleans Pelicans,L,107,122,3,2
Denver Nuggets,Orlando Magic,W,91,87,4,2
Denver Nuggets,Miami Heat,W,109,89,5,2
Denver Nuggets,Philadelphia 76ers,W,100,97,6,2
Denver Nuggets,Minnesota Timberwolves,W,100,98,7,2
Denver Nuggets,Atlanta Hawks,L,121,125,7,3
Denver Nuggets,Brooklyn Nets,W,101,93,8,3
Denver Nuggets,Memphis Grizzlies,W,131,114,9,3
Denver Nuggets,Houston Rockets,W,105,95,10,3
Denver Nuggets,Boston Celtics,W,96,92,11,3
Denver Nuggets,Phoenix Suns,W,116,104,12,3
Denver Nuggets,Washington Wizards,W,117,104,13,3
Denver Nuggets,Sacramento Kings,L,97,100,13,4
Denver Nuggets,Los Angeles Lakers,L,96,105,13,5
Denver Nuggets,New York Knicks,W,129,92,14,5
Denver Nuggets,Boston Celtics,L,95,108,14,6
Denver Nuggets,Brooklyn Nets,L,102,105,14,7
Denver Nuggets,Philadelphia 76ers,L,92,97,14,8
Denver Nuggets,Portland Trail Blazers,W,114,99,15,8
Denver Nuggets,Oklahoma City Thunder,W,110,102,16,8
Denver Nuggets,New York Knicks,W,111,105,17,8
Denver Nuggets,Orlando Magic,W,113,104,18,8
Denver Nuggets,Minnesota Timberwolves,W,109,100,19,8
Denver Nuggets,Los Angeles Lakers,W,128,104,20,8
Denver Nuggets,Phoenix Suns,W,113,111,21,8
Denver Nuggets,New Orleans Pelicans,L,100,112,21,9
Denver Nuggets,Memphis Grizzlies,W,119,110,22,9
Denver Nuggets,Sacramento Kings,W,120,115,23,9
Denver Nuggets,Houston Rockets,L,104,130,23,10
Denver Nuggets,Indiana Pacers,W,124,116,24,10
Denver Nuggets,Washington Wizards,L,114,128,24,11
Denver Nuggets,Atlanta Hawks,W,123,115,25,11
Denver Nuggets,Dallas Mavericks,W,107,106,26,11
Denver Nuggets,Cleveland Cavaliers,L,103,111,26,12
Denver Nuggets,Los Angeles Clippers,W,114,104,27,12
Denver Nuggets,Charlotte Hornets,W,100,86,28,12
Denver Nuggets,Golden State Warriors,W,134,131,29,12
Denver Nuggets,Indiana Pacers,L,107,115,29,13
Denver Nuggets,Minnesota Timberwolves,W,107,100,30,13
Denver Nuggets,Houston Rockets,L,105,121,30,14
Denver Nuggets,New Orleans Pelicans,W,113,106,31,14
Denver Nuggets,Houston Rockets,W,117,110,32,14
Denver Nuggets,Memphis Grizzlies,L,96,104,32,15
Denver Nuggets,Utah Jazz,W,106,100,33,15
Denver Nuggets,Milwaukee Bucks,W,127,115,34,15
Denver Nuggets,Detroit Pistons,L,123,128,34,16
Denver Nuggets,Portland Trail Blazers,W,127,99,35,16
Denver Nuggets,Utah Jazz,W,98,95,36,16
Denver Nuggets,Phoenix Suns,W,117,108,37,16
Denver Nuggets,San Antonio Spurs,W,127,120,38,16
Denver Nuggets,Los Angeles Lakers,L,116,120,38,17
Denver Nuggets,Oklahoma City Thunder,L,101,113,38,18
Denver Nuggets,Minnesota Timberwolves,W,128,116,39,18
Denver Nuggets,Detroit Pistons,W,115,98,40,18
Denver Nuggets,Los Angeles Clippers,L,103,132,40,19
Denver Nuggets,Toronto Raptors,W,133,118,41,19
Denver Nuggets,Golden State Warriors,L,100,116,41,20
Denver Nuggets,Charlotte Hornets,W,114,112,42,20
Denver Nuggets,Cleveland Cavaliers,L,102,104,42,21
Denver Nuggets,Milwaukee Bucks,W,109,95,43,21
Denver Nuggets,Dallas Mavericks,L,97,113,43,22
Oklahoma City Thunder,Utah Jazz,L,95,100,0,1
Oklahoma City Thunder,Washington Wizards,L,85,97,0,2
Oklahoma City Thunder,Golden State Warriors,W,120,92,1,2
Oklahoma City Thunder,Houston Rockets,L,112,116,1,3
Oklahoma City Thunder,Portland Trail Blazers,L,99,102,1,4
Oklahoma City Thunder,New Orleans Pelicans,W,115,104,2,4
Oklahoma City Thunder,Orlando Magic,W,102,94,3,4
Oklahoma City Thunder,San Antonio Spurs,L,112,121,3,5
Oklahoma City Thunder,Golden State Warriors,W,114,108,4,5
Oklahoma City Thunder,Milwaukee Bucks,L,119,121,4,6
Oklahoma City Thunder,Indiana Pacers,L,85,111,4,7
Oklahoma City Thunder,Philadelphia 76ers,W,127,119,5,7
Oklahoma City Thunder,Los Angeles Clippers,L,88,90,5,8
Oklahoma City Thunder,Los Angeles Lakers,L,107,112,5,9
Oklahoma City Thunder,Los Angeles Lakers,L,127,130,5,10
Oklahoma City Thunder,Golden State Warriors,W,100,97,6,10
Oklahoma City Thunder,Portland Trail Blazers,L,119,136,6,11
Oklahoma City Thunder,New Orleans Pelicans,W,109,104,7,11
Oklahoma City Thunder,New Orleans Pelicans,W,107,104,8,11
Oklahoma City Thunder,Indiana Pacers,L,100,107,8,12
Oklahoma City Thunder,Minnesota Timberwolves,W,139,127,9,12
Oklahoma City Thunder,Portland Trail Blazers,W,108,96,10,12
Oklahoma City Thunder,Utah Jazz,W,104,90,11,12
Oklahoma City Thunder,Sacramento Kings,L,93,94,11,13
Oklahoma City Thunder,Denver Nuggets,L,102,110,11,14
Oklahoma City Thunder,Chicago Bulls,W,109,106,12,14
Oklahoma City Thunder,Memphis Grizzlies,W,126,122,13,14
Oklahoma City Thunder,Phoenix Suns,W,126,108,14,14
Oklahoma City Thunder,Los Angeles Clippers,W,118,112,15,14
Oklahoma City Thunder,Memphis Grizzlies,L,97,110,15,15
Oklahoma City Thunder,Charlotte Hornets,W,104,102,16,15
Oklahoma City Thunder,Toronto Raptors,W,98,97,17,15
Oklahoma City Thunder,Dallas Mavericks,W,106,101,18,15
Oklahoma City Thunder,San Antonio Spurs,W,109,103,19,15
Oklahoma City Thunder,Cleveland Cavaliers,W,121,106,20,15
Oklahoma City Thunder,Philadelphia 76ers,L,113,120,20,16
Oklahoma City Thunder,Brooklyn Nets,W,111,103,21,16
Oklahoma City Thunder,Houston Rockets,W,113,92,22,16
Oklahoma City Thunder,Los Angeles Lakers,L,110,125,22,17
Oklahoma City Thunder,Minnesota Timberwolves,W,117,104,23,17
Oklahoma City Thunder,Toronto Raptors,L,121,130,23,18
Oklahoma City Thunder,Miami Heat,L,108,115,23,19
Oklahoma City Thunder,Portland Trail Blazers,W,119,106,24,19
Oklahoma City Thunder,Houston Rockets,W,112,107,25,19
Oklahoma City Thunder,Orlando Magic,W,120,114,26,19
Oklahoma City Thunder,Atlanta Hawks,W,140,111,27,19
Oklahoma City Thunder,Minnesota Timberwolves,W,113,104,28,19
Oklahoma City Thunder,Dallas Mavericks,L,97,107,28,20
Oklahoma City Thunder,Sacramento Kings,W,120,100,29,20
Oklahoma City Thunder,Phoenix Suns,W,111,107,30,20
Oklahoma City Thunder,Cleveland Cavaliers,W,109,103,31,20
Oklahoma City Thunder,Detroit Pistons,W,108,101,32,20
Oklahoma City Thunder,Boston Celtics,L,111,112,32,21
Oklahoma City Thunder,San Antonio Spurs,L,106,114,32,22
Oklahoma City Thunder,New Orleans Pelicans,W,123,118,33,22
Oklahoma City Thunder,Denver Nuggets,W,113,101,34,22
Oklahoma City Thunder,San Antonio Spurs,W,131,103,35,22
Oklahoma City Thunder,Chicago Bulls,W,124,122,36,22
Oklahoma City Thunder,Sacramento Kings,W,112,108,37,22
Oklahoma City Thunder,Milwaukee Bucks,L,86,133,37,23
Oklahoma City Thunder,Los Angeles Clippers,L,94,109,37,24
Oklahoma City Thunder,Detroit Pistons,W,114,107,38,24
Oklahoma City Thunder,New York Knicks,W,126,103,39,24
Oklahoma City Thunder,Boston Celtics,W,105,104,40,24
Utah Jazz,Oklahoma City Thunder,W,100,95,1,0
Utah Jazz,Los Angeles Lakers,L,86,95,1,1
Utah Jazz,Sacramento Kings,W,113,81,2,1
Utah Jazz,Phoenix Suns,W,96,95,3,1
Utah Jazz,Los Angeles Clippers,W,110,96,4,1
Utah Jazz,Sacramento Kings,L,101,102,4,2
Utah Jazz,Los Angeles Clippers,L,94,105,4,3
Utah Jazz,Philadelphia 76ers,W,106,104,5,3
Utah Jazz,Milwaukee Bucks,W,103,100,6,3
Utah Jazz,Golden State Warriors,W,122,108,7,3
Utah Jazz,Brooklyn Nets,W,119,114,8,3
Utah Jazz,Memphis Grizzlies,L,106,107,8,4
Utah Jazz,Minnesota Timberwolves,L,102,112,8,5
Utah Jazz,Minnesota Timberwolves,W,103,95,9,5
Utah Jazz,Golden State Warriors,W,113,109,10,5
Utah Jazz,New Orleans Pelicans,W,128,120,11,5
Utah Jazz,Milwaukee Bucks,L,118,122,11,6
Utah Jazz,Indiana Pacers,L,102,121,11,7
Utah Jazz,Memphis Grizzlies,W,103,94,12,7
